App_ID,游戏名称,最低CPU,最低显卡,最低内存,最低硬盘,最低配置的注意事项,推荐CPU,推荐显卡,推荐内存,推荐硬盘,推荐配置的注意事项
2242290,High and Dry,AMD A8-7600 / Intel® Core™ i3-3210,AMD Radeon™ R7 240X / NVIDIA® GeForce® GTX 730 / Intel® UHD Graphics 630,4 GB RAM,需要 1 GB 可用空间,,,,,,
3724750,Void Raider,Intel Core i5Intel Core i5,NVIDIA GTX 1050 Ti,,需要 3 GB 可用空间,,,NVIDIA RTX 2070 Ti,,需要 3 GB 可用空间,
2334520,SKY,Intel Core i5-3570K or AMD FX-8310,NVIDIA GeForce GTX 780 or AMD Radeon RX 470,8 GB RAM,需要 1 GB 可用空间,,AMD Ryzen 5 2600X or Intel Core i7-7700K,AMD RX 6700 XT or NVIDIA GeForce RTX 2060 SUPER (8 GB VRAM),16 GB RAM,需要 1 GB 可用空间,
2502040,The Lemonade,1.6 GHz or more,OpenGL 3.3,300 MB RAM,需要 50 MB 可用空间,,,,,,
383010,JamG,,,2 GB RAM,需要 3 GB 可用空间,,,,,,
3964280,Zone 404,AMD Ryzen 3 1200 / Intel Core i5-7500,NVIDIA GeForce GTX 980 / AMD Radeon RX 560,16 GB RAM,需要 8 GB 可用空间,,AMD Ryzen 5 3600 / Intel Core i7 8700,Radeon RX 6600 XT / NVIDIA GeForce RTX 3060,32 GB RAM,需要 8 GB 可用空间,
1215340,Danko and the mystery of the jungle,2 GHz的,,2 GB RAM,需要 201 MB 可用空间,附注事项: 警告：游戏目录的路径应仅为英文字母,3 GHz的,,4 GB RAM,需要 201 MB 可用空间,附注事项: 警告：游戏目录的路径应仅为英文字母
1995930,Count Pumpcula,2.20 GHz,Intel HD Graphics Driver,4 GB RAM,需要 700 MB 可用空间,,,,,,
2233580,Monkey Doo,Intel Core i5-4590/AMD FX 8350,"NVIDIA GeForce GTX 970, AMD Radeon R9 290",4 GB RAM,,,,,,,
3836070,Cursed House 2,1.6 Ghz,directX 8.1 compatible,8 MB RAM,需要 100 MB 可用空间,,1.6 Ghz,directX 8.1 compatible,8 MB RAM,需要 100 MB 可用空间,
3122540,Mental Hellacious,,\,8 GB RAM,需要 9 GB 可用空间,,,,,,
3273850,Spooky Dwellers 3,,Videocard with a least 3 Gb RAM. Recommended Nvidia 1050 or better.,3 GB RAM,需要 1 GB 可用空间,,,,,,
1288380,Two Bit Hero,Whatever you have in your computer should work,Black and White with shades of green and red,500 MB RAM,需要 500 MB 可用空间,,,,,,
3417780,Yokai Tales,2.0 Ghz,1GB Video Memory,,需要 1 GB 可用空间,,,,,,
3365630,Heroes & Dice,i5,1024,2048 MB RAM,需要 2 GB 可用空间,,i5,1024,4096 MB RAM,需要 4 GB 可用空间,
886230,Noble Armada: Lost Worlds,200 Mhz Pentium processor or higher,Must support minimum of Direct3D 9,256 MB RAM,需要 150 MB 可用空间,,,,,,
1841910,Kidduca,Intel Core2 Duo E6750 or equivalent / AMD Athlon 64 X2 Dual Core 5000+ or equivalent,OpenGL 2.0 capable graphics card,500 MB RAM,需要 300 MB 可用空间,,Intel Core2 Duo E6750 or equivalent / AMD Athlon 64 X2 Dual Core 5000+ or equivalent,OpenGL 2.0 capable graphics card,500 MB RAM,需要 300 MB 可用空间,
2066210,War Dots,intel core i5,1 GB VRAM,2 GB RAM,需要 200 MB 可用空间,,,,,,
2450090,The Blue Stars,r3 3200,vega 8,1 GB RAM,需要 2 GB 可用空间,"附注事项: So long as your PC was created after 2014, you can probably run this",i3 12100F,rx 550,1 GB RAM,需要 2 GB 可用空间,
3262560,Weeks Till Winter,2.8 GHz Dual Core (Intel / AMD),Nvidia GTX 750 Ti | AMD Radeon R7 260X,4 GB RAM,需要 2 GB 可用空间,,3.5 GHz Dual Core (Intel / AMD),Nvidia GTX 1050 Ti | AMD Radeon RX 570,8 GB RAM,需要 2 GB 可用空间,
2706880,Lost Pages: Classic,Intel Core i5 6600,,8 GB RAM,,,Intel Core i5 10400,,16 GB RAM,,
1300950,Tiki Tiki: The Tropical Memory Game,Dual Core,"1Gb Video Memory, capable of OpenGL 3.0+ support",,需要 150 MB 可用空间,,,,,,
